,Channel,Content,Date Sent,Timestamp
0,TickTools S&P500, top 46 percentile seller Exhaustion confirmed at: 4344.75,10/5/2021 15:46, 10/05/2021 11:46:01 AM
1,TickTools S&P500, top 27 percentile buyer Exhaustion confirmed at: 4311.50,10/5/2021 13:35, 10/05/2021 09:35:01 AM
2,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4301,10/5/2021 8:21, 10/05/2021 04:21:01 AM
3,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4301.75,10/5/2021 7:18, 10/05/2021 03:18:01 AM
4,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 33932,10/5/2021 7:18, 10/05/2021 03:18:01 AM
5,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 33802,10/5/2021 6:17, 10/05/2021 02:17:01 AM
6,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4298.25,10/5/2021 3:51, 10/04/2021 11:51:02 PM
7,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4286.50,10/5/2021 1:53, 10/04/2021 09:53:02 PM
8,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4298.25,10/5/2021 3:51, 10/04/2021 11:51:02 PM
9,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4286.50,10/5/2021 1:53, 10/04/2021 09:53:02 PM
10,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 33792,10/5/2021 1:51, 10/04/2021 09:51:03 PM
11,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4280,10/5/2021 1:42, 10/04/2021 09:42:02 PM
12,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 33773,10/5/2021 1:42, 10/04/2021 09:42:01 PM
13,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 33818,10/5/2021 0:21, 10/04/2021 08:21:03 PM
14,TickTools S&P500, X-TICK top 8 percentile seller capitulation X-TICK confirmed at: 4277.75,10/4/2021 19:54, 10/04/2021 03:54:02 PM
15,TickTools S&P500, top 25 percentile buyer Exhaustion confirmed at: 4294.25,10/4/2021 19:45, 10/04/2021 03:45:02 PM
16,TickTools S&P500, top 32 percentile buyer Exhaustion confirmed at: 4283.25,10/4/2021 19:32, 10/04/2021 03:32:01 PM
17,TickTools S&P500, top 18 percentile seller Exhaustion confirmed at: 4277.25,10/4/2021 19:24, 10/04/2021 03:24:01 PM
18,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4279.50,10/4/2021 19:21, 10/04/2021 03:21:01 PM
