,Channel,Content,Date Sent,Timestamp,PriceLevel,MinToConverge,P/L,IsWinner,Percentile
0,TickTools S&P500, top 27 percentile buyer Exhaustion confirmed at: 4311.50,10/5/2021 13:35,10/5/2021 9:35,4311.5,0 days 00:16:59,-34.875,False,27.0
1,TickTools S&P500, top 25 percentile buyer Exhaustion confirmed at: 4294.25,10/4/2021 19:45,10/4/2021 15:45,4294.25,0 days 00:06:58,-0.5,False,25.0
2,TickTools S&P500, top 32 percentile buyer Exhaustion confirmed at: 4283.25,10/4/2021 19:32,10/4/2021 15:32,4283.25,0 days 00:09:59,-9.875,False,32.0
3,TickTools S&P500, top 17 percentile buyer Exhaustion confirmed at: 4291.25,10/4/2021 16:01,10/4/2021 12:01,4291.25,0 days 00:14:59,9.25,True,17.0
4,TickTools S&P500, top 58 percentile buyer Exhaustion confirmed at: 4283.75,10/4/2021 15:56,10/4/2021 11:56,4283.75,0 days 00:02:59,5.625,True,58.0
5,TickTools S&P500, top 66 percentile buyer Exhaustion confirmed at: 4277.25,10/4/2021 15:46,10/4/2021 11:46,4277.25,0 days 00:04:59,4.375,True,66.0
6,TickTools S&P500, top 37 percentile buyer Exhaustion confirmed at: 4317,9/30/2021 16:37,9/30/2021 12:37,4317.0,0 days 00:04:57,1.75,True,37.0
7,TickTools S&P500, top 21 percentile buyer Exhaustion confirmed at: 4373.50,9/30/2021 13:34,9/30/2021 9:34,4373.5,0 days 00:02:57,19.25,True,21.0
8,TickTools S&P500, top 17 percentile buyer Exhaustion confirmed at: 4358.75,9/29/2021 17:19,9/29/2021 13:19,4358.75,0 days 00:07:56,-9.125,False,17.0
9,TickTools S&P500, top 20 percentile buyer Exhaustion confirmed at: 4369.75,9/29/2021 13:54,9/29/2021 9:54,4369.75,0 days 00:07:58,0.125,True,20.0
10,TickTools S&P500, top 27 percentile buyer Exhaustion confirmed at: 4363,9/29/2021 13:34,9/29/2021 9:34,4363.0,0 days 00:02:58,-0.5,False,27.0
11,TickTools S&P500, top 21 percentile buyer Exhaustion confirmed at: 4343.75,9/28/2021 17:10,9/28/2021 13:10,4343.75,0 days 00:17:58,-9.375,False,21.0
12,TickTools S&P500, top 21 percentile buyer Exhaustion confirmed at: 4371.75,9/28/2021 14:41,9/28/2021 10:41,4371.75,0 days 00:08:59,25.625,True,21.0
13,TickTools S&P500, top 24 percentile buyer Exhaustion confirmed at: 4449,9/24/2021 19:25,9/24/2021 15:25,4449.0,0 days 00:00:55,3.5,True,24.0
14,TickTools S&P500, top 66 percentile buyer Exhaustion confirmed at: 4439.75,9/24/2021 15:56,9/24/2021 11:56,4439.75,0 days 00:07:55,-0.125,False,66.0
15,TickTools S&P500, top 52 percentile buyer Exhaustion confirmed at: 4441,9/23/2021 19:59,9/23/2021 15:59,4441.0,0 days 01:15:57,-0.375,False,52.0
16,TickTools S&P500, top 22 percentile buyer Exhaustion confirmed at: 4355.50,9/21/2021 17:53,9/21/2021 13:53,4355.5,0 days 00:01:58,-2.25,False,22.0
17,TickTools S&P500, top 49 percentile buyer Exhaustion confirmed at: 4353.50,9/21/2021 17:51,9/21/2021 13:51,4353.5,0 days 00:03:57,-4.25,False,49.0
18,TickTools S&P500, top 45 percentile buyer Exhaustion confirmed at: 4356,9/21/2021 15:12,9/21/2021 11:12,4356.0,0 days 00:03:58,-16.25,False,45.0
19,TickTools S&P500, top 52 percentile buyer Exhaustion confirmed at: 4385,9/21/2021 13:50,9/21/2021 9:50,4385.0,0 days 00:09:58,44.125,True,52.0
20,TickTools S&P500, top 61 percentile buyer Exhaustion confirmed at: 4376,9/21/2021 13:40,9/21/2021 9:40,4376.0,0 days 00:04:58,22.75,True,61.0
21,TickTools S&P500, top 17 percentile buyer Exhaustion confirmed at: 4329.50,9/20/2021 17:42,9/20/2021 13:42,4329.5,0 days 00:01:58,26.75,True,17.0
22,TickTools S&P500, top 22 percentile buyer Exhaustion confirmed at: 4353.25,9/20/2021 15:07,9/20/2021 11:07,4353.25,0 days 00:08:58,24.375,True,22.0
23,TickTools S&P500, top 28 percentile buyer Exhaustion confirmed at: 4359.75,9/20/2021 14:38,9/20/2021 10:38,4359.75,0 days 00:11:58,17.625,True,28.0
24,TickTools S&P500, top 65 percentile buyer Exhaustion confirmed at: 4357.25,9/20/2021 14:32,9/20/2021 10:32,4357.25,0 days 00:17:58,15.125,True,65.0
