,Channel,Content,Date Sent,Timestamp,PriceLevel,MinToConverge,P/L,IsWinner,Percentile
0,TickTools S&P500, top 46 percentile seller Exhaustion confirmed at: 4344.75,10/5/2021 15:46,10/5/2021 11:46,4344.75,0 days 00:08:59,3.625,True,46.0
1,TickTools S&P500, top 18 percentile seller Exhaustion confirmed at: 4277.25,10/4/2021 19:24,10/4/2021 15:24,4277.25,0 days 00:10:59,15.0,True,18.0
2,TickTools S&P500, top 18 percentile seller Exhaustion confirmed at: 4282.25,10/4/2021 19:19,10/4/2021 15:19,4282.25,0 days 00:03:57,11.5,True,18.0
3,TickTools S&P500, top 20 percentile seller Exhaustion confirmed at: 4286.25,10/4/2021 19:14,10/4/2021 15:14,4286.25,0 days 00:08:59,7.5,True,20.0
4,TickTools S&P500, top 25 percentile seller Exhaustion confirmed at: 4313.50,10/4/2021 14:21,10/4/2021 10:21,4313.5,0 days 00:06:00,-30.5,False,25.0
5,TickTools S&P500, top 51 percentile seller Exhaustion confirmed at: 4318.25,10/4/2021 14:07,10/4/2021 10:07,4318.25,0 days 00:09:59,-28.25,False,51.0
6,TickTools S&P500, top 22 percentile seller Exhaustion confirmed at: 4350.75,10/1/2021 19:35,10/1/2021 15:35,4350.75,0 days 00:03:56,-2.5,False,22.0
7,TickTools S&P500, top 48 percentile seller Exhaustion confirmed at: 4355.25,10/1/2021 19:27,10/1/2021 15:27,4355.25,0 days 00:11:57,-7.0,False,48.0
8,TickTools S&P500, top 40 percentile seller Exhaustion confirmed at: 4282,10/1/2021 14:22,10/1/2021 10:22,4282.0,0 days 00:09:57,30.25,True,40.0
9,TickTools S&P500, top 60 percentile seller Exhaustion confirmed at: 4293,10/1/2021 13:58,10/1/2021 9:58,4293.0,0 days 00:13:57,-1.0,False,60.0
10,TickTools S&P500, top 20 percentile seller Exhaustion confirmed at: 4338.75,9/30/2021 14:57,9/30/2021 10:57,4338.75,0 days 00:01:57,-11.875,False,20.0
